type,from,to,detail,status,confidence,verification,url_count,source_1,source_2,source_3,more_sources,last_updated
invested_in,Ares Management,Prime Data Centers,"Founding/controlling shareholder is Data Realty Holding Corp (founders Laag & Pelz); outside structured/equity capital from Grain Management and Macquarie Capital, plus Ares Management as a co-investor.",,medium-high,links from original research round,1,https://www.prnewswire.com/news-releases/grain-management-announces-strategic-structured-financing-in-data-realty-holding-corp-the-founding-and-controlling-shareholder-of-prime-data-centers-302735733.html,,,,2026-09-05
invested_in,Ares Management,Sabey Data Centers,Business unit of privately-held Sabey Corporation (founder Dave Sabey); longstanding JV with National Real Estate Advisors; Ares Management made a strategic investment announced July 2026.,,high,links from original research round,1,https://www.globenewswire.com/news-release/2026/07/08/3324085/0/en/Sabey-Data-Center-Properties-Welcomes-Strategic-Investment-from-Ares-Strengthening-Platform-for-Continued-Growth.html,,,,2026-09-05
invested_in,Art-Invest Real Estate,maincubes,Holds a ~25% minority stake in maincubes.,,high,confirmed (re-sourcing pass 2026-09-08),3,https://www.dtcp.capital/news-and-insights/detail/dtcp-announces-additional-investment-in-maincubes-a-leading-german-data-center-operator-to-become-the-majority-shareholder/,https://www.datacenterdynamics.com/en/news/dtcp-takes-majority-stake-in-german-operator-maincubes/,https://realassets.ipe.com/news/dtcp-becomes-majority-shareholder-in-data-centre-operator-maincubes/10068976.article,,2026-09-05
invested_in,AustralianSuper,Vantage,"$9.2B equity investment led by DigitalBridge and Silver Lake completed June 2024; additional 2024 capital from GIC, ADIA, AustralianSuper, MEAG.",,high,links from original research round,1,https://www.digitalbridge.com/news/2024-06-13-vantage-data-centers-completes-92-billion-equity-investment-led-by-digitalbridge-and-silver-lake,,,,2026-09-05
invested_in,Azrieli Group,Green Mountain Global Data Centers,"Acquired Green Mountain from Smedvig Eiendom for ~$850M (2021 deal, closed 2025). — Re-sourcing note (2026-09-08): 100% acquisition from the Smedvig family for NOK7.6B (~$850M) in 2021 confirmed. The 'closed 2025' element is not supported by these sources (deal appears to have completed in 2021); Azrieli was reportedly weighing an IPO of Green Mountain later.",,medium,partial (re-sourcing pass 2026-09-08),3,https://www.datacenterdynamics.com/en/news/azrieli-group-acquires-green-mountain-for-850-million/,https://norway.dlapiper.com/en/news/dla-piper-advises-azrieli-group-acquisition-green-mountain-data-centers,https://www.torchpartners.com/deals/green-mountain-azrieli,,2026-09-05
invested_in,Bain Capital,hscale,Bain Capital is majority owner; Aquila Group retains ~20% (former owner of the AQ Compute asset base hscale was built from). Dubai Holding reported exploring a stake (June 2026).,,high,links from original research round,1,https://www.bloomberg.com/news/articles/2026-06-24/dubai-holding-weighs-stake-in-bain-s-data-center-group-hscale,,,,2026-09-05
invested_in,Bain Capital Credit,DC BLOX,Bain Capital Credit and Post Road Group led a $187M financing (2021) plus additional equity; GIP provided $240M HoldCo financing (Jan 2026).,,high,links from original research round,1,https://www.baincapital.com/news/dc-blox-leading-data-center-operator-secures-187-million-financing,,,,2026-09-05
invested_in,Bandera Ventures,Skybox Datacenters,"No single controlling PE owner found -- operates via project-level JVs with Bandera Ventures, Rugen Street Capital, Prologis, and Principal Asset Management rather than a platform-level acquisition.",,medium,links from original research round,1,https://www.accessnewswire.com/newsroom/en/real-estate/skybox-datacenters-and-bandera-ventures-commence-development-of-300-megawatt-data-center-806308,,,,2026-09-05
invested_in,Berkshire Partners,Tract,"Founder Grant van Rooyen invested significant personal capital; investor list sourced from PitchBook/trade press, not an official press release.",,medium,links from original research round,1,https://www.datacenterdynamics.com/en/analysis/building-for-the-long-term-grant-van-rooyens-tract-masterplan/,,,,2026-09-05
invested_in,BlackRock,Gravity Edge - a BlackRock and DGP platform,"£500m ($678m) JV with Digital Gravity Partners (DGP), launched Sept 2025, to acquire/develop UK enterprise data centers.",,high,confirmed (re-sourcing pass 2026-09-08),3,https://www.blackrock.com/corporate/newsroom/press-releases/announcement/blackrock-investment-in-uk-data-centers,https://www.techerati.com/news-hub/blackrock-commits-500-million-to-uk-data-centres-via-gravity-edge/,https://realassets.ipe.com/news/blackrock-commits-up-to-500m-to-uk-data-centres/10132627.article,,2026-09-05
invested_in,BlackRock,Kauri CAB Digital Infrastructure,"JV (BlackRock Real Estate) to develop a hyperscale data center near Frankfurt, Germany. — Re-sourcing note (2026-09-08): Site is Karben (Rendel), Frankfurt region; 33MW project, construction targeted Q3 2026.",,high,confirmed (re-sourcing pass 2026-09-08),2,https://irei.com/news/blackrock-real-estate-kauri-cab-digital-infrastructure-form-jv-to-develop-hyperscale-data-center-near-frankfurt-germany/,https://greenstreetnews.com/article/blackrock-teams-up-with-kauri-cab-to-develop-data-centre-near-frankfurt/,,,2026-09-05
invested_in,BlackRock,Mainova WebHouse,Acquired a 50.1% majority stake from parent utility Mainova AG.,,high,confirmed (re-sourcing pass 2026-09-08),3,https://www.mainova-webhouse.com/en/news/detail/mainova-and-blackrock-launch-data-centre-partnership-at-mainova-webhouse/,https://www.datacenterdynamics.com/en/news/blackrock-acquires-majority-stake-in-germanys-mainova-webhouse/,https://www.marketscreener.com/quote/stock/MAINOVA-AG-436370/news/BlackRock-Inc-acquired-50-1-stake-in-Mainova-WebHouse-GmbH-from-Mainova-AG-DB-MNV6--46982417/,,2026-09-05
invested_in,BlackRock,Meta,"Anchor debt investor ($3B) in Meta's $27B 'Hyperion' data center JV in Louisiana (alongside Blue Owl, PIMCO). — Re-sourcing note (2026-09-08): BlackRock's $3B anchor role in the Hyperion debt (alongside PIMCO $18B) is described only in a trade newsletter (Global Data Center Hub); the primary Meta/Blue Owl press materials name Blue Owl (80% JV equity) and PIMCO as anchor lender without naming BlackRock. Treat the BlackRock figure as reported but not primary-sourced.",,medium,partial (re-sourcing pass 2026-09-08),2,https://www.globaldatacenterhub.com/p/meta-blue-owls-27b-bet-is-this-the,https://www.datacenterdynamics.com/en/news/meta-forms-27-billion-joint-venture-with-blue-owl-to-fund-gigawatt-scale-ai-data-center-campus-in-louisiana/,,,2026-09-05
invested_in,BlackRock,Microsoft,"Co-founder of the AI Infrastructure Partnership (AIP, with GIP + MGX), which raised $12.5B+ for AI/data center infrastructure. — Re-sourcing note (2026-09-08): Relationship type is mischaracterised: BlackRock did not invest in Microsoft. Both are co-founders/general partners of the AI Infrastructure Partnership (AIP, with GIP and MGX; NVIDIA and xAI joined Mar 2025). Consider re-typing as a 'partnered_with' or JV relationship.",,medium,partial (re-sourcing pass 2026-09-08),3,https://ir.blackrock.com/news-and-events/press-releases/press-releases-details/2024/BlackRock-Global-Infrastructure-Partners-Microsoft-and-MGX-Launch-New-AI-Partnership-to-Invest-in-Data-Centers-and-Supporting-Power-Infrastructure/default.aspx,https://news.microsoft.com/source/2024/09/17/blackrock-global-infrastructure-partners-microsoft-and-mgx-launch-new-ai-partnership-to-invest-in-data-centers-and-supporting-power-infrastructure/,https://w.media/blackrock-and-microsofts-tech-consortium-raises-us12-5-billion-for-ai-infrastructure-development/,,2026-09-05
invested_in,Blackstone,Colovore,$925M debt facility (2025) for liquid-cooled AI data center build-out.,,high,confirmed (re-sourcing pass 2026-09-08),3,https://www.prnewswire.com/news-releases/king-street-backed-colovore-closes-925-million-facility-with-blackstone-for-ai-data-center-platform-302451361.html,https://www.colovore.com/news/data-centerspecialist-colovore-taps-blackstone-for-925m-debt-facility,https://www.datacenterdynamics.com/en/news/colovore-secures-925m-debt-facility-from-blackstone-for-liquid-cooled-data-center-build-out/,,2026-09-05
invested_in,Blackstone,QTS Data Centers,"Acquired from QTS Realty Trust (public REIT) by Blackstone in a $10B all-cash deal, closed Sept 2021.",,high,links from original research round,1,https://www.blackstone.com/news/press/qts-realty-trust-to-be-acquired-by-blackstone-funds-in-10-billion-transaction/,,,,2026-09-05
invested_in,Blackstone,Rowan Digital Infrastructure,Blackstone-affiliated funds acquired a 49% stake in a 2025/2026 recapitalization; Quinbrook Infrastructure Partners retains a role.,,high,links from original research round,1,https://www.prnewswire.com/news-releases/rowan-digital-infrastructure-announces-strategic-recapitalization-302738729.html,,,,2026-09-05
invested_in,Blue Owl Capital,American Real Estate Partners,$5B JV (with Chirisa Technology Parks) for build-to-suit AI/HPC data centers. — Re-sourcing note (2026-09-08): The JV counterparty is named as PowerHouse Data Centers (AREP's data center affiliate) alongside Chirisa Technology Parks; AREP hosts the press release on its own site. Consider naming PowerHouse Data Centers in the detail.,,medium,confirmed (re-sourcing pass 2026-09-08),3,https://www.americanrepartners.com/news/blue-owl-chirisa-technology-parks-and-powerhouse-data-centers-announce-first-phase-of-5-billion-joint-venture-development-partnership,https://www.prnewswire.com/news-releases/blue-owl-chirisa-technology-parks-and-powerhouse-data-centers-announce-first-phase-of-5-billion-joint-venture-development-partnership-302233967.html,https://www.datacenterdynamics.com/en/news/blue-owl-chirisa-and-powerhouse-announce-5bn-data-center-jv-for-coreweave/,,2026-09-05
invested_in,Blue Owl Capital,Beale,Reported as Blue Owl-backed in trade coverage; no direct Blue Owl press release confirming ownership was found -- worth confirming directly.,,medium,links from original research round,1,https://www.businesswire.com/news/home/20260429340180/en/Beale-Infrastructure-Announces-Hyperscale-Kansas-Data-Center-Campus-Advancing-$3-Billion-Infrastructure-Investment,,,,2026-09-05
invested_in,Blue Owl Capital,Lancium,"Formed a $3.4B JV with Primary Digital Infrastructure for capacity at the Abilene, TX Stargate campus. — Re-sourcing note (2026-09-08): The $3.4B JV (Oct 2024) is between Crusoe, Blue Owl Real Estate funds and Primary Digital Infrastructure to build a 206MW data center at the Lancium Clean Campus in Abilene; Lancium is the campus host/landowner, not a JV party or recipient of Blue Owl equity.",,medium,partial (re-sourcing pass 2026-09-08),3,https://lancium.com/2024/10/15/crusoe-blue-owl-capital-and-primary-digital-infrastructure-enter-3-4-billion-joint-venture-for-ai-data-center-development/,https://www.businesswire.com/news/home/20241015910376/en/Crusoe-Blue-Owl-Capital-and-Primary-Digital-Infrastructure-Enter-$3.4-billion-Joint-Venture-for-AI-Data-Center-Development,https://www.datacenterdynamics.com/en/news/crusoe-signs-34bn-joint-venture-with-blue-owl/,,2026-09-05
invested_in,Blue Owl Capital,Nscale,"VC/strategic-backed (not PE). Aker ASA led a $1.1B Series B; NVIDIA, Dell, Fidelity, Blue Owl, Point72 and others also invested. Valued ~$14.6B as of March 2026.",,high,links from original research round,1,https://www.cnbc.com/2026/03/09/nscale-ai-data-center-nvidia-raise.html,,,,2026-09-05
invested_in,Blue Owl Capital,Oracle,"Financing partner for Oracle's Abilene, TX ($15B) and New Mexico ($18B) Stargate data center sites. — Re-sourcing note (2026-09-08): Abilene (~$3B equity + ~$10B debt) and New Mexico ($18B, Blue Owl equity with bank project loan) confirmed. Note: Blue Owl withdrew from Oracle's $10B Michigan (Saline Township) site in Dec 2025 - do not extend the claim to Michigan.",,high,confirmed (re-sourcing pass 2026-09-08),3,https://www.cnbc.com/2025/12/17/oracle-stock-blue-owl-michigan-data-center.html,https://www.datacenterdynamics.com/en/news/blue-owl-opts-not-to-fund-oracles-10bn-michigan-data-center/,https://www.bloomberg.com/news/articles/2025-11-07/banks-lend-18-billion-for-oracle-tied-data-center-in-new-mexico,,2026-09-05
invested_in,Blue Owl Capital,STACK Infrastructure,"Controlling owner via Blue Owl Digital Infrastructure (BODI) platform since acquiring IPI Partners' asset-management business (~$1.0B, announced Oct 2024, closed Jan 6, 2025).",,high,links from original research round,2,https://www.blueowl.com/news/blue-owl-capital-acquire-ipi-partners-and-partner-iconiq-future-growth,https://www.sec.gov/Archives/edgar/data/1823945/000119312524233331/d869362dex991.htm,,,2026-09-05
invested_in,Brookfield Infrastructure,Compass Datacenters,Acquired June 2023 (~$5.5B) from RedBird Capital Partners/Azrieli Group. KKR made a Dec 2025 asset-level (not full-company) investment in stabilized assets.,,high,links from original research round,1,https://www.otpp.com/en-ca/about-us/news-and-insights/2023/brookfield-infrastructure-and-ontario-teachers--to-acquire-compass-datacenters-from-redbird-capital-partners-and-azrieli-group/,,,,2026-09-05
invested_in,Brookfield Infrastructure,Csquare,"Formed 2024 via Brookfield-led merger of Evoque Data Center Solutions + Cyxtera; filed for $1.35B IPO in 2026. — Re-sourcing note (2026-09-08): Status update: the IPO priced/listed on NYSE (CSQR) in July 2026, raising ~$1B+ (below the ~$1.3-1.4B target); Brookfield retains majority ownership.",,high,confirmed (re-sourcing pass 2026-09-08),3,https://www.bisnow.com/national/news/data-center-capital-markets/brookfields-data-center-firm-csquare-seeks-over-13b-in-ipo-135299,https://therealdeal.com/national/2026/07/16/brookfield-backed-csquare-raises-more-than-1b-in-ipo/,https://www.thedeal.com/scoops-exclusives/brookfield-backed-data-center-operator-csquare-pursues-ipo/,,2026-09-05
invested_in,Brookfield Infrastructure,DATA4,"Acquired from AXA IM Alts, closed April 2023. Reportedly in talks (2025) with Arjun Infrastructure Partners for a minority stake sale -- not confirmed closed.",,high,links from original research round,1,https://alts.axa-im.com/media-centre/axa-im-alts-agrees-sale-data4-european-leading-data-centre-platform-brookfield-infrastructure,,,,2026-09-05
invested_in,Brookfield Infrastructure,DayOne,"€1B mezzanine debt facility (2025) supporting DayOne's hyperscale build-out. — Re-sourcing note (2026-09-08): Facility is EUR500M, expandable up to EUR1B, provided by Brookfield together with an unnamed global sovereign investor (Dec 2025), secured against DayOne's Finland platform. Detail should say 'up to EUR1B' and note the co-lender.",,medium,partial (re-sourcing pass 2026-09-08),3,https://www.datacenterdynamics.com/en/news/dataone-secures-500m-credit-facility-from-brookfield-for-finnish-projects/,https://www.globenewswire.com/news-release/2025/12/04/3199522/0/en/DayOne-Secures-Up-to-1-Billion-Mezzanine-Financing-Facility-to-Accelerate-Finland-Platform-and-Global-Expansion.html,https://realassets.ipe.com/news/dayone-data-centers-secures-500m-mezzanine-facility-for-finnish-rollout/10134060.article,,2026-09-05
invested_in,CIM Group,Novva Data Centers,"CIM Group's equity commitment grew from $95M (2019) to $450M; founder-led (Wes Swenson, Cory Roberts) alongside CIM.",,high,links from original research round,1,https://www.cimgroup.com/press-releases/cim-group-and-novva-data-centers-announce-2-billion-in-new-financing-to-accelerate-growth-in-delivering-sustainable-efficient-data-centers-across-the-western-u-s,,,,2026-09-05
invested_in,CPP Investments (CPPIB),atNorth,"Acquired ~60% (alongside Equinix) in a completed deal, Sept 2, 2026 (~$1.6B for CPPIB's stake). — Re-sourcing note (2026-09-08): Completion press release (Sept 2, 2026) states CPP Investments holds ~51% for US$1.3B, Equinix ~34% (US$895M), Partners Group ~10% (US$260M); the ~60% / ~$1.6B figures do not match the completed deal.",,medium,partial (re-sourcing pass 2026-09-08),3,https://newsroom.equinix.com/2026-09-02-CPP-Investments-and-Equinix-Complete-atNorth-Acquisition-to-Support-Growth-of-Leading-Nordic-Data-Center-Platform,https://www.atnorth.com/news/cpp-investments-and-equinix-complete-atnorth-acquisition-to-support-growth-of-leading-nordic-data-center-platform/,https://www.prnewswire.com/news-releases/cpp-investments-and-equinix-complete-atnorth-acquisition-to-support-growth-of-leading-nordic-data-center-platform-302867735.html,,2026-09-05
invested_in,CPP Investments (CPPIB),atNorth Data Center,"Acquired ~60% (alongside Equinix) in a completed deal, Sept 2, 2026 (~$1.6B for CPPIB's stake). — Re-sourcing note (2026-09-08): Duplicate of idx 2788; completed deal is ~51% / US$1.3B for CPP Investments, not ~60% / ~$1.6B.",,medium,partial (re-sourcing pass 2026-09-08),2,https://newsroom.equinix.com/2026-09-02-CPP-Investments-and-Equinix-Complete-atNorth-Acquisition-to-Support-Growth-of-Leading-Nordic-Data-Center-Platform,https://www.atnorth.com/news/cpp-investments-and-equinix-complete-atnorth-acquisition-to-support-growth-of-leading-nordic-data-center-platform/,,,2026-09-05
invested_in,Canopy Generations Fund,metrobloks,Led metrobloks' $15.6M Series A (Feb 2025).,,high,confirmed (re-sourcing pass 2026-09-08),2,https://www.metrobloks.com/press-release/metrobloks-closes-financing-round-led-by-canopy-generations-fund,https://pitchbook.com/profiles/company/606972-25,,,2026-09-05
invested_in,Cerberus Capital Management,Arrow Capital Partners,"Backs Arrow's €3B Strategic Industrial Real Estate (SIRE) platform, which includes data centers as one asset class. — Re-sourcing note (2026-09-08): Cerberus-Arrow SIRE JV (EUR2-3B) confirmed, but all sources describe it as a European logistics/industrial platform; none mention data centers as an asset class. The data-center angle of this claim is unsupported.",,medium,partial (re-sourcing pass 2026-09-08),3,https://irei.com/news/e3b-arrow-cerberus-speculatively-develop-two-warehouses-madrid/,https://www.apollo.com/insights-news/pressreleases/2026/01/apollo-provides-900-million-refinancing-for-pan-european-logistics-and-industrial-portfolio-owned-by-cerberus-and-arrow-capital-partners-3228240,https://www.costar.com/article/988332254/arrow-capitalcerberus-join-forces-targeting-2bn-european-industrial-portfolio,,2026-09-05
invested_in,Columbia Capital,Tract,"Founder Grant van Rooyen invested significant personal capital; investor list sourced from PitchBook/trade press, not an official press release.",,medium,links from original research round,1,https://www.datacenterdynamics.com/en/analysis/building-for-the-long-term-grant-van-rooyens-tract-masterplan/,,,,2026-09-05
invested_in,Current Equity Partners,metrobloks,Led metrobloks' $5.2M seed round (June 2024).,,high,confirmed (re-sourcing pass 2026-09-08),3,https://www.metrobloks.com/press-release/metrobloks-seed-raise,https://www.datacenterdynamics.com/en/news/data-center-startup-metrobloks-raises-52-million-funding/,https://www.accessnewswire.com/newsroom/en/computers-technology-and-internet/metrobloks-raises-5.2m-seed-round-to-build-data-centers-in-metro-m-881065,,2026-09-05
invested_in,DTCP (Digital Transformation Capital Partners),GreenScale Data Centres,"DTCP launched/backs GreenScale (initial ~£1B committed), built from its Oct 2024 acquisition of AtlanticHub.",,high,links from original research round,1,https://www.dtcp.capital/news-and-insights/detail/dtcp-backs-greenscale-a-new-data-center-platform-to-accelerate-growth-in-cloud-and-ai-driven-data-centers-across-europe/,,,,2026-09-05
invested_in,DTCP (Digital Transformation Capital Partners),maincubes,"Took majority stake in 2022, increased to full majority by Sept 2023; secured a €2.475B platform financing. — Re-sourcing note (2026-09-08): EUR2.475B platform financing was announced Jan 2026 (EUR1.775B committed + EUR700M accordion).",,high,confirmed (re-sourcing pass 2026-09-08),3,https://www.dtcp.capital/news-and-insights/detail/maincubes-underscores-its-rapid-growth-into-a-leading-european-data-center-platform-under-dtcp-ownership-securing-a-eur-2475-billion-platform-financing/,https://www.datacenterdynamics.com/en/news/dtcp-takes-majority-stake-in-german-operator-maincubes/,https://www.maincubes.com/en/press/maincubes-secures-e2-5-billion-financing-to-accelerate-growth-as-a-leading-european-data-center-operator/,,2026-09-05
invested_in,DWS Group,NorthC Datacenters,"Prior owner before agreeing to sell NorthC to Antin Infrastructure Partners (~€2B deal, expected close H1 2026). — Re-sourcing note (2026-09-08): Deal value not disclosed in the press releases; ~EUR2B figure unverified by these sources.",,high,confirmed (re-sourcing pass 2026-09-08),3,https://www.northcdatacenters.com/en/news/antin-to-acquire-northc-from-dws/,https://www.antin-ip.com/media/our-news/antin-to-acquire-northc-a-leading-european-enterprise-colocation-data-centre-platform-from-dws,https://www.datacenterdynamics.com/en/news/antin-infrastructure-partners-acquires-european-data-center-firm-northc/,,2026-09-05
invested_in,Davidson Kempner Capital Management,PointOne,"Strategic partnership announced Feb 2025 to fund its Virginia campus; the specific firm name is corroborated by a LinkedIn post rather than the primary press release text, deal size undisclosed.",,medium,links from original research round,1,https://www.datacenterdynamics.com/en/news/pointone-secures-investment-partner-for-virginia-build-out/,,,,2026-09-05
invested_in,Digital Gravity Partners (DGP),Gravity Edge - a BlackRock and DGP platform,Co-sponsor with BlackRock of the £500m Gravity Edge UK data center JV.,,high,confirmed (re-sourcing pass 2026-09-08),3,https://www.blackrock.com/corporate/newsroom/press-releases/announcement/blackrock-investment-in-uk-data-centers,https://www.techerati.com/news-hub/blackrock-commits-500-million-to-uk-data-centres-via-gravity-edge/,https://realassets.ipe.com/news/blackrock-commits-up-to-500m-to-uk-data-centres/10132627.article,,2026-09-05
invested_in,DigitalBridge Group,AtlasEdge,JV launched 2021 combining DigitalBridge's Edge assets with Liberty Global's real estate portfolio.,,high,links from original research round,1,https://atlasedge.com/liberty-global-and-digitalbridge-to-launch-jv-to-develop-edge-data-centers-in-europe/,,,,2026-09-05
invested_in,DigitalBridge Group,DataBank,"Originally acquired by DigitalBridge (2016); recapitalized 2022 -- Swiss Life, EDF Invest, Northleaf, Ardian bought ~35% for $1.5B; DigitalBridge reduced its stake further via a Jan 2025 raise.",,high,links from original research round,1,https://www.digitalbridge.com/news/2022-06-16-digitalbridge-announces-recapitalization-of-databank,,,,2026-09-05
invested_in,DigitalBridge Group,Switch,Taken private Dec 2022 in an $11B deal.,,high,links from original research round,1,https://www.digitalbridge.com/news/2022-12-06-digitalbridge-and-ifm-investors-complete-11-billion-take-private-of-switch,,,,2026-09-05
invested_in,DigitalBridge Group,Vantage,"$9.2B equity investment led by DigitalBridge and Silver Lake completed June 2024; additional 2024 capital from GIC, ADIA, AustralianSuper, MEAG.",,high,links from original research round,1,https://www.digitalbridge.com/news/2024-06-13-vantage-data-centers-completes-92-billion-equity-investment-led-by-digitalbridge-and-silver-lake,,,,2026-09-05
invested_in,DigitalBridge Group,Yondr,Acquired from Cathexis Holdings by DigitalBridge and La Caisse; Allianz Capital Partners later took a minority stake.,,high,links from original research round,1,https://www.lacaisse.com/en/news/pressreleases/digitalbridge-caisse-complete-acquisition-yondr-group,,,,2026-09-05
